source,target,type
0,17376,"composition"
17376,3,"composition"
1,17376,"composition"
2,17376,"composition"
17376,4,"composition"
6,17376,"composition"
17376,5,"composition"
7,17376,"composition"
17376,8,"composition"
11,14591,"link"
11,16256,"link"
14,16256,"link"
59,10729,"link"
59,5997,"link"
59,10757,"link"
59,10755,"link"
59,10756,"link"
59,10758,"link"
59,7098,"link"
59,10816,"link"
59,7372,"link"
59,7371,"link"
59,7389,"link"
59,7408,"link"
59,7407,"link"
59,7406,"link"
59,7428,"link"
59,7427,"link"
59,6725,"link"
59,6726,"link"
59,5962,"link"
59,9558,"link"
59,7671,"link"
59,3757,"link"
59,11931,"link"
59,3878,"link"
59,9801,"link"
59,2933,"link"
59,2954,"link"
59,3238,"link"
59,3264,"link"
59,3072,"link"
59,2891,"link"
59,2953,"link"
59,2966,"link"
59,2892,"link"
59,2955,"link"
59,2914,"link"
59,17443,"link"
59,16863,"link"
59,14078,"link"
59,10759,"link"
59,6617,"link"
59,4591,"link"
59,13672,"link"
59,6790,"link"
59,18493,"link"
59,5990,"link"
59,5998,"link"
59,5996,"link"
59,5993,"link"
59,6411,"link"
59,6408,"link"
59,6407,"link"
59,6410,"link"
59,5982,"link"
59,5985,"link"
59,5995,"link"
59,6761,"link"
59,6375,"link"
59,6409,"link"
61,6795,"link"
61,5963,"link"
61,5991,"link"
61,6327,"link"
61,6816,"link"
61,6374,"link"
61,6815,"link"
61,6823,"link"
61,6822,"link"
61,6813,"link"
61,6796,"link"
61,3878,"link"
61,6819,"link"
61,6830,"link"
61,6818,"link"
61,6826,"link"
61,6824,"link"
61,6821,"link"
61,6829,"link"
61,6820,"link"
61,6833,"link"
61,6831,"link"
61,6828,"link"
61,6843,"link"
61,9646,"link"
61,5983,"link"
61,9688,"link"
61,6859,"link"
61,6842,"link"
61,6860,"link"
61,6373,"link"
61,9621,"link"
61,6372,"link"
61,9692,"link"
61,9622,"link"
61,9693,"link"
61,9643,"link"
61,6377,"link"
61,6791,"link"
61,9644,"link"
61,9691,"link"
61,3072,"link"
61,6825,"link"
61,6814,"link"
61,6817,"link"
61,6832,"link"
61,6858,"link"
61,6861,"link"
61,6790,"link"
61,9690,"link"
61,11618,"link"
61,11616,"link"
